Data,Salário mínimo real - R$ (do último mês) - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12,
1952.11,857.576792558713,
1952.12,849.894915752406,
1953.01,835.605249434711,
1953.02,821.788154759019,
1953.03,808.420570522041,
1953.04,800.36116299383,
1953.05,792.460862979464,
1953.06,785.305460153464,
1953.07,775.963536463906,
1953.08,767.405115105849,
1953.09,758.48179981392,
1953.10,756.831730633759,
1953.11,755.188825285061,
1953.12,754.097511953724,
1954.01,732.400671258915,
1954.02,710.947518081713,
1954.03,692.089493729413,
1954.04,682.584013436203,
1954.05,673.336100996099,
1954.06,664.758571047105,
1954.07,1311.96851859705,
1954.08,1294.87711730019,
1954.09,1278.22529889033,
1954.10,1261.99631988386,
1954.11,1246.17427647039,
1954.12,1231.47015521411,
1955.01,1194.81506187058,
1955.02,1159.63439615995,
1955.03,1128.29292599347,
1955.04,1117.42072435113,
1955.05,1106.16953528771,
1955.06,1095.71753967869,
1955.07,1085.46121325424,
1955.08,1075.39511235853,
1955.09,1065.51399340884,
1955.10,1049.97078123134,
1955.11,1034.87452309763,
1955.12,1020.70509197453,
1956.01,989.261570183844,
1956.02,958.815761638912,
1956.03,932.265258190224,
1956.04,920.750733607371,
1956.05,909.121042285676,
1956.06,898.167776715969,
1956.07,882.223970028703,
1956.08,1372.49087585376,
1956.09,1349.51328258712,
1956.10,1328.35933643724,
1956.11,1307.85834153378,
1956.12,1288.48266239994,
1957.01,1245.74369734484,
1957.02,1204.43076860636,
1957.03,1167.82969224588,
1957.04,1161.67241794582,
1957.05,1155.57973043911,
1957.06,1149.15091413625,
1957.07,1147.1565529524,
1957.08,1145.16910223696,
1957.09,1142.79323273024,
1957.10,1137.67918384023,
1957.11,1132.61070221242,
1957.12,1127.58718152707,
1958.01,1104.22921117803,
1958.02,1081.46532364393,
1958.03,1060.30093970351,
1958.04,1047.19836155128,
1958.05,1034.41565854643,
1958.06,1021.94125821146,
1958.07,1012.23829373839,
1958.08,1002.71784862131,
1958.09,993.374820876421,
1958.10,979.53705662592,
1958.11,966.079517408902,
1958.12,953.261617841319,
1959.01,1433.22020948085,
1959.02,1367.851843439,
1959.03,1308.51423839513,
1959.04,1285.94252900931,
1959.05,1264.1363330232,
1959.06,1243.05735653163,
1959.07,1227.84818416936,
1959.08,1213.00669054388,
