Data,Transações correntes - Saldo (Nova metod. - BPM6) - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_TC12,
2012.08,-4128.970695875,
2012.09,-4811.354958105,
2012.10,-7034.65514557,
2012.11,-9139.748195395,
2012.12,-8860.79314176999,
2013.01,-13087.65949437,
2013.02,-5897.571264255,
2013.03,-6432.882280495,
2013.04,-6744.56738038,
2013.05,-6324.98505063,
2013.06,-3537.258440045,
2013.07,-11660.97485371,
2013.08,-5250.452617505,
2013.09,-4283.51402102,
2013.10,-6874.90554365,
2013.11,-5374.54241597,
2013.12,-4322.84075935,
2014.01,-13344.86769854,
2014.02,-8156.312250915,
2014.03,-7536.334415905,
2014.04,-8168.10986589999,
2014.05,-6647.90644027499,
2014.06,-4723.424544175,
2014.07,-10317.15757901,
2014.08,-5998.329317785,
2014.09,-8016.312306955,
2014.10,-9305.3706463,
2014.11,-9801.54117917,
2014.12,-9415.437144485,
2015.01,-12010.638540165,
2015.02,-7404.034993785,
2015.03,-5759.09592993,
2015.04,-5603.91811874,
2015.05,-3462.987886295,
2015.06,-3144.65519157,
2015.07,-5888.743683755,
2015.08,-2308.189581035,
2015.09,-2271.939420865,
2015.10,-4280.14197564,
2015.11,-3121.29165136,
2015.12,783.395741964995,
2016.01,-5600.04510887,
2016.02,-1278.873702495,
2016.03,-1461.91260858,
2016.04,-607.953539850002,
2016.05,1350.921988845,
2016.06,-2621.892916055,
2016.07,-3884.86838798,
2016.08,-921.154931404996,
2016.09,-1293.41927054,
2016.10,-3127.190130775,
2016.11,-341.848154699997,
2016.12,-4441.800059215,
2017.01,-6715.55692658,
2017.02,-275.988635655001,
2017.03,711.194443640001,
2017.04,-168.299696700001,
2017.05,2470.98232318499,
2017.06,431.191364994994,
2017.07,-3416.20136571,
2017.08,-172.516384064996,
2017.09,-705.175072485,
2017.10,-1494.16588837,
2017.11,-2983.178944085,
2017.12,-2696.80713256,
2018.01,-6778.06970115,
2018.02,-5019.559227345,
2018.03,-2269.432047015,
2018.04,-1638.22679397,
2018.05,-860.832389579996,
2018.06,-1450.24540865,
2018.07,-7447.19024895499,
2018.08,-3616.65184623,
2018.09,-1327.277044315,
2018.10,-1964.458208735,
2018.11,-3051.93983027,
2018.12,-6115.80954926501,
2019.01,-8880.134428885,
2019.02,-3174.18857206,
2019.03,-2389.132636965,
2019.04,-1751.269077845,
2019.05,-1316.432967155,
2019.06,-3009.51039412,
2019.07,-9441.658689335,
2019.08,-3662.770505195,
2019.09,-2748.97547612,
2019.10,-6509.26909086,
2019.11,-2163.9839283,
